[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
/home/raikakoki/.local/lib/python3.10/site-packages/torch/backends/cuda/__init__.py:342: FutureWarning: torch.backends.cuda.sdp_kernel() is deprecated. In the future, this context manager will be removed. Please see, torch.nn.attention.sdpa_kernel() for the new context manager, with updated signature.
  warnings.warn(
Dataset created successfully.
Epoch 1/100, Training Loss: 0.3548, Validation Loss: 0.2314
Epoch 2/100, Training Loss: 0.1391, Validation Loss: 0.1899
Epoch 3/100, Training Loss: 0.1190, Validation Loss: 0.2349
Epoch 4/100, Training Loss: 0.1159, Validation Loss: 0.1529
Epoch 5/100, Training Loss: 0.0822, Validation Loss: 0.1554
Epoch 6/100, Training Loss: 0.0839, Validation Loss: 0.0878
Epoch 7/100, Training Loss: 0.0623, Validation Loss: 0.1219
Epoch 8/100, Training Loss: 0.0687, Validation Loss: 0.0626
Epoch 9/100, Training Loss: 0.0476, Validation Loss: 0.0874
Epoch 10/100, Training Loss: 0.0518, Validation Loss: 0.0557
Epoch 11/100, Training Loss: 0.0449, Validation Loss: 0.0650
Epoch 12/100, Training Loss: 0.0500, Validation Loss: 0.0700
Epoch 13/100, Training Loss: 0.0336, Validation Loss: 0.0524
Epoch 14/100, Training Loss: 0.0404, Validation Loss: 0.0638
Epoch 15/100, Training Loss: 0.0424, Validation Loss: 0.0403
Epoch 16/100, Training Loss: 0.0358, Validation Loss: 0.0659
Epoch 17/100, Training Loss: 0.0419, Validation Loss: 0.0426
Epoch 18/100, Training Loss: 0.0370, Validation Loss: 0.0625
Epoch 19/100, Training Loss: 0.0401, Validation Loss: 0.0296
Epoch 20/100, Training Loss: 0.0327, Validation Loss: 0.0849
Epoch 21/100, Training Loss: 0.0411, Validation Loss: 0.0388
Epoch 22/100, Training Loss: 0.0466, Validation Loss: 0.1472
Epoch 23/100, Training Loss: 0.0706, Validation Loss: 0.0679
Epoch 24/100, Training Loss: 0.0568, Validation Loss: 0.1364
Epoch 25/100, Training Loss: 0.0490, Validation Loss: 0.0467
Epoch 26/100, Training Loss: 0.0391, Validation Loss: 0.0765
Epoch 27/100, Training Loss: 0.0294, Validation Loss: 0.0361
Epoch 28/100, Training Loss: 0.0270, Validation Loss: 0.0520
Epoch 29/100, Training Loss: 0.0238, Validation Loss: 0.0356
Epoch 30/100, Training Loss: 0.0231, Validation Loss: 0.0423
Epoch 31/100, Training Loss: 0.0218, Validation Loss: 0.0347
Epoch 32/100, Training Loss: 0.0214, Validation Loss: 0.0378
Epoch 33/100, Training Loss: 0.0207, Validation Loss: 0.0335
Epoch 34/100, Training Loss: 0.0203, Validation Loss: 0.0350
Epoch 35/100, Training Loss: 0.0198, Validation Loss: 0.0325
Epoch 36/100, Training Loss: 0.0194, Validation Loss: 0.0330
Epoch 37/100, Training Loss: 0.0191, Validation Loss: 0.0316
Epoch 38/100, Training Loss: 0.0187, Validation Loss: 0.0316
Epoch 39/100, Training Loss: 0.0184, Validation Loss: 0.0308
Epoch 40/100, Training Loss: 0.0181, Validation Loss: 0.0305
Epoch 41/100, Training Loss: 0.0179, Validation Loss: 0.0301
Epoch 42/100, Training Loss: 0.0176, Validation Loss: 0.0296
Epoch 43/100, Training Loss: 0.0174, Validation Loss: 0.0295
Epoch 44/100, Training Loss: 0.0172, Validation Loss: 0.0290
Epoch 45/100, Training Loss: 0.0170, Validation Loss: 0.0289
Epoch 46/100, Training Loss: 0.0168, Validation Loss: 0.0284
Epoch 47/100, Training Loss: 0.0167, Validation Loss: 0.0284
Epoch 48/100, Training Loss: 0.0165, Validation Loss: 0.0279
Epoch 49/100, Training Loss: 0.0164, Validation Loss: 0.0279
Epoch 50/100, Training Loss: 0.0162, Validation Loss: 0.0275
Epoch 51/100, Training Loss: 0.0161, Validation Loss: 0.0275
Epoch 52/100, Training Loss: 0.0160, Validation Loss: 0.0271
Epoch 53/100, Training Loss: 0.0159, Validation Loss: 0.0272
Epoch 54/100, Training Loss: 0.0157, Validation Loss: 0.0267
Epoch 55/100, Training Loss: 0.0157, Validation Loss: 0.0269
Epoch 56/100, Training Loss: 0.0155, Validation Loss: 0.0264
Epoch 57/100, Training Loss: 0.0155, Validation Loss: 0.0267
Epoch 58/100, Training Loss: 0.0154, Validation Loss: 0.0261
Epoch 59/100, Training Loss: 0.0154, Validation Loss: 0.0265
Epoch 60/100, Training Loss: 0.0152, Validation Loss: 0.0258
Epoch 61/100, Training Loss: 0.0153, Validation Loss: 0.0263
Epoch 62/100, Training Loss: 0.0151, Validation Loss: 0.0256
Epoch 63/100, Training Loss: 0.0152, Validation Loss: 0.0261
Epoch 64/100, Training Loss: 0.0150, Validation Loss: 0.0254
Epoch 65/100, Training Loss: 0.0151, Validation Loss: 0.0258
Epoch 66/100, Training Loss: 0.0149, Validation Loss: 0.0253
Epoch 67/100, Training Loss: 0.0149, Validation Loss: 0.0256
Epoch 68/100, Training Loss: 0.0147, Validation Loss: 0.0252
Epoch 69/100, Training Loss: 0.0147, Validation Loss: 0.0253
Epoch 70/100, Training Loss: 0.0146, Validation Loss: 0.0252
Epoch 71/100, Training Loss: 0.0146, Validation Loss: 0.0252
Epoch 72/100, Training Loss: 0.0145, Validation Loss: 0.0251
Epoch 73/100, Training Loss: 0.0145, Validation Loss: 0.0250
Epoch 74/100, Training Loss: 0.0145, Validation Loss: 0.0249
Epoch 75/100, Training Loss: 0.0144, Validation Loss: 0.0249
Epoch 76/100, Training Loss: 0.0144, Validation Loss: 0.0248
Epoch 77/100, Training Loss: 0.0144, Validation Loss: 0.0248
Epoch 78/100, Training Loss: 0.0143, Validation Loss: 0.0247
Epoch 79/100, Training Loss: 0.0143, Validation Loss: 0.0247
Epoch 80/100, Training Loss: 0.0143, Validation Loss: 0.0247
Epoch 81/100, Training Loss: 0.0142, Validation Loss: 0.0246
Epoch 82/100, Training Loss: 0.0142, Validation Loss: 0.0246
Epoch 83/100, Training Loss: 0.0142, Validation Loss: 0.0245
