[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
/home/raikakoki/.local/lib/python3.10/site-packages/torch/backends/cuda/__init__.py:342: FutureWarning: torch.backends.cuda.sdp_kernel() is deprecated. In the future, this context manager will be removed. Please see, torch.nn.attention.sdpa_kernel() for the new context manager, with updated signature.
  warnings.warn(
Dataset created successfully.
Epoch 1/100, Training Loss: 0.3419, Validation Loss: 0.2421
Epoch 2/100, Training Loss: 0.2050, Validation Loss: 0.1835
Epoch 3/100, Training Loss: 0.1187, Validation Loss: 0.1904
Epoch 4/100, Training Loss: 0.1193, Validation Loss: 0.1855
Epoch 5/100, Training Loss: 0.0972, Validation Loss: 0.1126
Epoch 6/100, Training Loss: 0.0690, Validation Loss: 0.0827
Epoch 7/100, Training Loss: 0.0597, Validation Loss: 0.1047
Epoch 8/100, Training Loss: 0.0551, Validation Loss: 0.0621
Epoch 9/100, Training Loss: 0.0447, Validation Loss: 0.0520
Epoch 10/100, Training Loss: 0.0401, Validation Loss: 0.0569
Epoch 11/100, Training Loss: 0.0381, Validation Loss: 0.0412
Epoch 12/100, Training Loss: 0.0351, Validation Loss: 0.0481
Epoch 13/100, Training Loss: 0.0372, Validation Loss: 0.0520
Epoch 14/100, Training Loss: 0.0310, Validation Loss: 0.0295
Epoch 15/100, Training Loss: 0.0342, Validation Loss: 0.0590
Epoch 16/100, Training Loss: 0.0423, Validation Loss: 0.0352
Epoch 17/100, Training Loss: 0.0319, Validation Loss: 0.0411
Epoch 18/100, Training Loss: 0.0297, Validation Loss: 0.0322
Epoch 19/100, Training Loss: 0.0232, Validation Loss: 0.0292
Epoch 20/100, Training Loss: 0.0231, Validation Loss: 0.0360
Epoch 21/100, Training Loss: 0.0221, Validation Loss: 0.0253
Epoch 22/100, Training Loss: 0.0217, Validation Loss: 0.0377
Epoch 23/100, Training Loss: 0.0234, Validation Loss: 0.0215
Epoch 24/100, Training Loss: 0.0248, Validation Loss: 0.0536
Epoch 25/100, Training Loss: 0.0303, Validation Loss: 0.0253
Epoch 26/100, Training Loss: 0.0360, Validation Loss: 0.1103
Epoch 27/100, Training Loss: 0.0604, Validation Loss: 0.0607
Epoch 28/100, Training Loss: 0.0596, Validation Loss: 0.1535
Epoch 29/100, Training Loss: 0.0590, Validation Loss: 0.0527
Epoch 30/100, Training Loss: 0.0456, Validation Loss: 0.0788
Epoch 31/100, Training Loss: 0.0299, Validation Loss: 0.0348
Epoch 32/100, Training Loss: 0.0248, Validation Loss: 0.0454
Epoch 33/100, Training Loss: 0.0214, Validation Loss: 0.0338
Epoch 34/100, Training Loss: 0.0207, Validation Loss: 0.0365
Epoch 35/100, Training Loss: 0.0199, Validation Loss: 0.0328
Epoch 36/100, Training Loss: 0.0195, Validation Loss: 0.0329
Epoch 37/100, Training Loss: 0.0190, Validation Loss: 0.0315
Epoch 38/100, Training Loss: 0.0187, Validation Loss: 0.0311
Epoch 39/100, Training Loss: 0.0184, Validation Loss: 0.0303
Epoch 40/100, Training Loss: 0.0182, Validation Loss: 0.0299
Epoch 41/100, Training Loss: 0.0179, Validation Loss: 0.0294
Epoch 42/100, Training Loss: 0.0177, Validation Loss: 0.0290
Epoch 43/100, Training Loss: 0.0175, Validation Loss: 0.0287
Epoch 44/100, Training Loss: 0.0173, Validation Loss: 0.0284
Epoch 45/100, Training Loss: 0.0172, Validation Loss: 0.0281
Epoch 46/100, Training Loss: 0.0170, Validation Loss: 0.0278
Epoch 47/100, Training Loss: 0.0169, Validation Loss: 0.0276
Epoch 48/100, Training Loss: 0.0167, Validation Loss: 0.0274
Epoch 49/100, Training Loss: 0.0166, Validation Loss: 0.0271
Epoch 50/100, Training Loss: 0.0165, Validation Loss: 0.0270
Epoch 51/100, Training Loss: 0.0164, Validation Loss: 0.0268
Epoch 52/100, Training Loss: 0.0163, Validation Loss: 0.0266
Epoch 53/100, Training Loss: 0.0162, Validation Loss: 0.0265
Epoch 54/100, Training Loss: 0.0161, Validation Loss: 0.0263
