[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[32m[I 2024-10-24 16:26:54,966][0m A new study created in memory with name: no-name-f83f6a82-aca2-4443-9acc-2f415671a26b[0m
/mnt/c/Users/RAIKA KOKI/B4研究/Multi_iTransformer/optunademo.py:82: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  learning_rate = trial.suggest_loguniform('learning_rate', 1e-6, 1e-2)
/home/raikakoki/.local/lib/python3.10/site-packages/torch/backends/cuda/__init__.py:342: FutureWarning: torch.backends.cuda.sdp_kernel() is deprecated. In the future, this context manager will be removed. Please see, torch.nn.attention.sdpa_kernel() for the new context manager, with updated signature.
  warnings.warn(
[32m[I 2024-10-24 16:26:56,812][0m Trial 0 finished with value: 1.2177000656649841 and parameters: {'learning_rate': 0.0001619013068607259, 'batch_size': 190, 'step_size': 12, 'gamma': 0.7768030378366206, 'depth': 2, 'dim': 218}. Best is trial 0 with value: 1.2177000656649841.[0m
[32m[I 2024-10-24 16:27:01,256][0m Trial 1 finished with value: 0.40971668027526703 and parameters: {'learning_rate': 1.0406504968522245e-05, 'batch_size': 19, 'step_size': 9, 'gamma': 0.7609337302519581, 'depth': 6, 'dim': 78}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:05,586][0m Trial 2 finished with value: 1.5926109997194204 and parameters: {'learning_rate': 0.0007382980094961164, 'batch_size': 128, 'step_size': 6, 'gamma': 0.8888260716714311, 'depth': 5, 'dim': 227}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:07,574][0m Trial 3 finished with value: 3.6775889521214498 and parameters: {'learning_rate': 1.111585042546355e-06, 'batch_size': 37, 'step_size': 8, 'gamma': 0.8505982578628425, 'depth': 3, 'dim': 101}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:09,116][0m Trial 4 finished with value: 0.9184717651623399 and parameters: {'learning_rate': 6.430681791180933e-05, 'batch_size': 159, 'step_size': 14, 'gamma': 0.9068932730265509, 'depth': 2, 'dim': 204}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:10,280][0m Trial 5 finished with value: 0.9787522446530968 and parameters: {'learning_rate': 0.004627907190351479, 'batch_size': 87, 'step_size': 4, 'gamma': 0.9367041434315795, 'depth': 4, 'dim': 44}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:12,830][0m Trial 6 finished with value: 1.1535940418640773 and parameters: {'learning_rate': 0.001822701636284853, 'batch_size': 67, 'step_size': 5, 'gamma': 0.9136604164354873, 'depth': 2, 'dim': 245}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:14,816][0m Trial 7 finished with value: 0.5398086963304832 and parameters: {'learning_rate': 0.009455605552028352, 'batch_size': 249, 'step_size': 15, 'gamma': 0.780043337225879, 'depth': 6, 'dim': 94}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:16,532][0m Trial 8 finished with value: 0.4755896794707028 and parameters: {'learning_rate': 0.004356821689553283, 'batch_size': 111, 'step_size': 14, 'gamma': 0.9346398645019715, 'depth': 6, 'dim': 54}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:20,402][0m Trial 9 finished with value: 0.5462784195569024 and parameters: {'learning_rate': 7.745613859214966e-05, 'batch_size': 18, 'step_size': 8, 'gamma': 0.7734146191554361, 'depth': 4, 'dim': 93}. Best is trial 1 with value: 0.40971668027526703.[0m
[32m[I 2024-10-24 16:27:23,442][0m Trial 10 finished with value: 0.500475390411135 and parameters: {'learning_rate': 3.6267567274753333e-06, 'batch_size': 207, 'step_size': 2, 'gamma': 0.8332186175116779, 'depth': 5, 'dim': 170}. Best is trial 1 with value: 0.40971668027526703.[0m
