[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[*********************100%%**********************]  1 of 1 completed
[32m[I 2024-10-24 16:28:42,710][0m A new study created in memory with name: no-name-1557b44c-4261-4c2f-84f9-6d695406615a[0m
/mnt/c/Users/RAIKA KOKI/B4研究/Multi_iTransformer/optunademo.py:82: FutureWarning: suggest_loguniform has been deprecated in v3.0.0. This feature will be removed in v6.0.0. See https://github.com/optuna/optuna/releases/tag/v3.0.0. Use suggest_float(..., log=True) instead.
  learning_rate = trial.suggest_loguniform('learning_rate', 1e-6, 1e-2)
/home/raikakoki/.local/lib/python3.10/site-packages/torch/backends/cuda/__init__.py:342: FutureWarning: torch.backends.cuda.sdp_kernel() is deprecated. In the future, this context manager will be removed. Please see, torch.nn.attention.sdpa_kernel() for the new context manager, with updated signature.
  warnings.warn(
[32m[I 2024-10-24 16:28:44,406][0m Trial 0 finished with value: 2.641734134803698 and parameters: {'learning_rate': 4.6687342500674125e-05, 'batch_size': 112, 'step_size': 3, 'gamma': 0.9389692933959777, 'depth': 4, 'dim': 104}. Best is trial 0 with value: 2.641734134803698.[0m
[32m[I 2024-10-24 16:28:49,660][0m Trial 1 finished with value: 0.7254138189250404 and parameters: {'learning_rate': 0.0007960380021055319, 'batch_size': 41, 'step_size': 2, 'gamma': 0.8566280844853611, 'depth': 5, 'dim': 197}. Best is trial 1 with value: 0.7254138189250404.[0m
[32m[I 2024-10-24 16:28:52,877][0m Trial 2 finished with value: 2.12216958172113 and parameters: {'learning_rate': 2.4863972972219593e-06, 'batch_size': 185, 'step_size': 14, 'gamma': 0.8147890703868755, 'depth': 6, 'dim': 141}. Best is trial 1 with value: 0.7254138189250404.[0m
[32m[I 2024-10-24 16:28:55,901][0m Trial 3 finished with value: 5.210707928370503 and parameters: {'learning_rate': 7.836284270881934e-06, 'batch_size': 116, 'step_size': 3, 'gamma': 0.8955197970876358, 'depth': 6, 'dim': 94}. Best is trial 1 with value: 0.7254138189250404.[0m
[32m[I 2024-10-24 16:28:57,759][0m Trial 4 finished with value: 0.8504092174319966 and parameters: {'learning_rate': 0.007556919129147032, 'batch_size': 83, 'step_size': 13, 'gamma': 0.8276213956577061, 'depth': 4, 'dim': 34}. Best is trial 1 with value: 0.7254138189250404.[0m
[32m[I 2024-10-24 16:29:00,148][0m Trial 5 finished with value: 1.2550932021395673 and parameters: {'learning_rate': 2.2150830948244277e-05, 'batch_size': 126, 'step_size': 15, 'gamma': 0.9538870479299025, 'depth': 6, 'dim': 93}. Best is trial 1 with value: 0.7254138189250404.[0m
[32m[I 2024-10-24 16:29:05,750][0m Trial 6 finished with value: 0.9353278328492803 and parameters: {'learning_rate': 1.5157422150623229e-05, 'batch_size': 31, 'step_size': 2, 'gamma': 0.8032128082827155, 'depth': 5, 'dim': 180}. Best is trial 1 with value: 0.7254138189250404.[0m
[32m[I 2024-10-24 16:29:06,912][0m Trial 7 finished with value: 1.8003694938803183 and parameters: {'learning_rate': 7.035519098957443e-05, 'batch_size': 131, 'step_size': 5, 'gamma': 0.899786826936898, 'depth': 2, 'dim': 129}. Best is trial 1 with value: 0.7254138189250404.[0m
[32m[I 2024-10-24 16:29:08,993][0m Trial 8 finished with value: 2.24363599124464 and parameters: {'learning_rate': 5.0257224309841424e-06, 'batch_size': 175, 'step_size': 14, 'gamma': 0.9032462908321139, 'depth': 3, 'dim': 192}. Best is trial 1 with value: 0.7254138189250404.[0m
[32m[I 2024-10-24 16:29:09,774][0m Trial 9 finished with value: 0.7220638510092948 and parameters: {'learning_rate': 0.005544207012667009, 'batch_size': 135, 'step_size': 14, 'gamma': 0.7514397596470671, 'depth': 2, 'dim': 72}. Best is trial 9 with value: 0.7220638510092948.[0m
[32m[I 2024-10-24 16:29:11,840][0m Trial 10 finished with value: 1.1955053690567756 and parameters: {'learning_rate': 0.0010044541112408886, 'batch_size': 256, 'step_size': 9, 'gamma': 0.7637377274404133, 'depth': 2, 'dim': 254}. Best is trial 9 with value: 0.7220638510092948.[0m
