2025-02-01 15:43:33,414 INFO    MainThread:1079850 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_setup.py:_flush():68] Configure stats pid to 1079850
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_setup.py:_flush():68] Loading settings from /home2/y2021/k2110261/.config/wandb/settings
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_setup.py:_flush():68] Loading settings from /data/student/k2110261/Multi-iTransformer/wandb/settings
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_init.py:_log_setup():528] Logging user logs to /data/student/k2110261/Multi-iTransformer/wandb/run-20250201_154333-vftbey8f/logs/debug.log
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_init.py:_log_setup():529] Logging internal logs to /data/student/k2110261/Multi-iTransformer/wandb/run-20250201_154333-vftbey8f/logs/debug-internal.log
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_init.py:init():644] calling init triggers
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {}
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_init.py:init():680] starting backend
2025-02-01 15:43:33,415 INFO    MainThread:1079850 [wandb_init.py:init():684] sending inform_init request
2025-02-01 15:43:33,473 INFO    MainThread:1079850 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-01 15:43:33,474 INFO    MainThread:1079850 [wandb_init.py:init():697] backend started and connected
2025-02-01 15:43:33,475 INFO    MainThread:1079850 [wandb_init.py:init():790] updated telemetry
2025-02-01 15:43:34,007 INFO    MainThread:1079850 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-02-01 15:43:34,293 INFO    MainThread:1079850 [wandb_init.py:init():874] starting run threads in backend
2025-02-01 15:43:38,811 INFO    MainThread:1079850 [wandb_run.py:_console_start():2374] atexit reg
2025-02-01 15:43:38,811 INFO    MainThread:1079850 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-02-01 15:43:38,811 INFO    MainThread:1079850 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-02-01 15:43:38,812 INFO    MainThread:1079850 [wandb_run.py:_redirect():2314] Redirects installed.
2025-02-01 15:43:38,812 INFO    MainThread:1079850 [wandb_init.py:init():916] run started, returning control to user process
2025-02-01 22:30:54,862 INFO    MainThread:1079850 [wandb_run.py:_config_callback():1279] config_cb None None {'learning_rate_trend': 0.0003013278996634321, 'batch_size_trend': 237, 'observation_period_trend': 5, 'learning_rate_seasonal_0': 0.00010045968631504395, 'batch_size_seasonal_0': 124, 'observation_period_seasonal_0': 40, 'learning_rate_seasonal_1': 0.0003899080586656311, 'batch_size_seasonal_1': 211, 'observation_period_seasonal_1': 17, 'learning_rate_seasonal_2': 0.0006461200811464487, 'batch_size_seasonal_2': 28, 'observation_period_seasonal_2': 250, 'learning_rate_seasonal_3': 0.0005215479963514043, 'batch_size_seasonal_3': 23, 'observation_period_seasonal_3': 9, 'learning_rate_resid': 0.0001041801855429689, 'batch_size_resid': 20, 'observation_period_resid': 8, 'epochs': 300, 'predict_period_num': 1}
2025-02-01 22:30:55,126 INFO    MainThread:1079850 [wandb_run.py:_finish():2100] finishing run raika-koki/SBUX-stock-price-prediction-by-iTransformer/vftbey8f
2025-02-01 22:30:55,126 INFO    MainThread:1079850 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 0
2025-02-01 22:30:55,126 INFO    MainThread:1079850 [wandb_run.py:_restore():2321] restore
2025-02-01 22:30:55,126 INFO    MainThread:1079850 [wandb_run.py:_restore():2327] restore done
2025-02-01 22:30:57,527 INFO    MainThread:1079850 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2025-02-01 22:30:57,528 INFO    MainThread:1079850 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2025-02-01 22:30:57,591 INFO    MainThread:1079850 [wandb_run.py:_footer_sync_info():3853] logging synced files
